Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
kkrt-labs/kakarot,997,305,42,1610,2024-11-20,Cairo,84
OpenZeppelin/cairo-contracts,826,339,44,1173,2024-11-20,Rust,60
dojoengine/dojo,421,176,47,2689,2024-11-20,Rust,89
foundry-rs/starknet-foundry,324,177,242,2681,2024-11-19,Rust,67
software-mansion/starknet.py,260,83,12,1497,2024-11-17,Python,30
software-mansion/protostar,250,48,72,2167,2024-10-15,Python,28
OpenZeppelin/contracts-wizard,249,137,31,404,2024-11-20,TypeScript,25
keep-starknet-strange/alexandria,234,103,2,330,2024-11-09,Cairo,57
cairo-book/cairo-book,234,226,20,1026,2024-11-20,JavaScript,137
keep-starknet-strange/garaga,206,51,12,253,2024-11-20,Cairo,23
software-mansion/scarb,191,71,87,1736,2024-11-20,Rust,41
gizatechxyz/orion,163,82,84,641,2024-10-28,Cairo,36
pyth-network/pyth-crosschain,152,206,36,2137,2024-11-20,TypeScript,58
kkrt-labs/kakarot-ssj,137,83,51,1014,2024-11-20,Cairo,45
WTFAcademy/WTF-Cairo,135,50,1,61,2024-11-19,Cairo,18
NethermindEth/StarknetByExample,117,85,16,254,2024-11-20,Cairo,38
myBraavos/braavos-account-cairo,111,57,1,17,2024-11-20,Python,3
0xSpaceShard/starknet-devnet-rs,109,61,32,648,2024-11-17,Rust,23
OpenZeppelin/ctf-2024,101,16,0,7,2024-11-19,Solidity,3
redstone-finance/redstone-oracles-monorepo,93,49,3,8,2024-11-20,TypeScript,24
eqlabs/starknet-multisig,91,19,0,68,2024-11-05,Cairo,4
auditless/cairo-template,86,14,0,37,2024-09-23,Rust,6
BibliothecaDAO/loot-survivor,79,37,2,587,2024-11-03,Cairo,7
starkware-libs/starknet-staking,76,27,4,12,2024-11-19,Cairo,8
keep-starknet-strange/joyboy,69,51,16,288,2024-11-20,TypeScript,29
software-mansion/starknet-jvm,65,16,7,530,2024-10-28,Kotlin,7
HerodotusDev/integrity,65,19,4,159,2024-11-20,Cairo,6
keep-starknet-strange/tsubasa,60,31,8,92,2024-11-20,TypeScript,16
WTFAcademy/WTF-Starknet,60,37,7,73,2024-09-19,Python,20
keep-starknet-strange/abi-wan-kanabi,59,19,2,74,2024-08-17,TypeScript,12
smartcontractkit/chainlink-starknet,59,19,36,546,2024-11-12,Go,49
lambdaclass/yet-another-swap,54,25,21,209,2024-07-17,Cairo,13
gizatechxyz/Giza-Hub,47,23,7,30,2024-11-11,Jupyter Notebook,8
argentlabs/min-starknet,44,22,3,4,2024-07-10,Cairo,1
dojoengine/origami,39,21,14,117,2024-11-18,Cairo,13
astraly-labs/pragma-oracle,36,14,8,130,2024-10-30,Solidity,4
avnu-labs/avnu-contracts-v2,34,7,2,6,2024-08-29,Cairo,2
astraly-labs/hyperlane_starknet,34,17,14,117,2024-10-31,Cairo,7
cartridge-gg/cairo-webauthn,32,11,10,60,2024-09-18,Rust,8
CarmineOptions/konoha,30,41,19,136,2024-10-05,Cairo,20
nestorbonilla/starknet-workshop-frontend,30,24,0,0,2024-11-20,TypeScript,1
ArkProjectNFTs/ark-project,27,26,25,499,2024-11-19,Rust,15
keep-starknet-strange/zkramp,27,26,11,107,2024-11-20,Cairo,15
EkuboProtocol/abis,26,18,0,9,2024-11-04,Cairo,3
software-mansion/starknet.swift,24,15,6,219,2024-09-13,Swift,8
ArkProjectNFTs/bridge,23,20,4,255,2024-11-18,TypeScript,15
reilabs/cairo-hints,21,4,0,37,2024-11-19,Cairo,4
argentlabs/starknet-build,20,5,1,1,2024-10-03,Rust,1
NethermindEth/starknet-contract-verifier,19,10,6,78,2024-11-08,Rust,8
auditless/suna,19,3,4,26,2024-05-06,Rust,4
gaetbout/starknet-commit-reveal,18,0,0,3,2024-09-23,Cairo,1
shramee/cairo_pairing,18,9,1,27,2024-08-15,Cairo,1
BibliothecaDAO/arcade-account,17,4,1,10,2024-03-16,Cairo,4
carbonable-labs/cairo-erc-2981,16,8,0,7,2024-08-28,Cairo,4
zkLend/zklend-v1-core,16,7,0,84,2024-10-04,Cairo,3
software-mansion/cairo-coverage,16,3,11,95,2024-11-18,Rust,6
faytey/JigIt,15,1,0,2,2024-11-05,TypeScript,2
iosis-tech/zetina,15,1,2,30,2024-11-08,Cairo,2
he-cairo/paillier.cairo,15,0,1,13,2024-11-08,Cairo,2
zkLinkProtocol/zklink-starknet-contracts,15,10,3,130,2024-11-19,Rust,4
dojoengine/stark-vrf,15,3,1,4,2024-10-16,Rust,3
AFK-AlignedFamKernel/afk_monorepo,14,35,26,258,2024-11-20,TypeScript,16
dojoengine/stark-lander,13,7,5,10,2024-11-15,TypeScript,6
ponderingdemocritus/boot-camp,13,3,0,0,2024-07-19,TypeScript,1
wasmate/wasmate-runtime,13,1,1,56,2024-11-06,Go,2
ruleslabs/marketplace,13,2,0,0,2024-07-15,Cairo,1
realm-of-ra/mancala,13,31,6,192,2024-11-16,TypeScript,16
Flex-NFT-Marketplace/Flex-Marketplace-Contract,13,44,8,134,2024-11-19,Cairo,23
milancermak/cairo_nft,12,0,0,0,2024-03-20,Cairo,1
faytey/Diverse,12,1,0,1,2024-05-24,JavaScript,3
Knivelty/Zenith,11,0,1,6,2024-11-18,TypeScript,4
Okm165/cairo1-cairo0bootloader,11,3,1,12,2024-09-23,Cairo,2
gizatechxyz/Tic-Tac-Stark,10,1,0,2,2024-05-24,Jupyter Notebook,1
franalgaba/neural-network-cairo,10,1,0,0,2024-09-22,Rust,1
AbdelStark/cashu-zk-engine,10,2,0,0,2024-10-21,Cairo,1
