Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
wooorm/starry-night,1463,30,1,46,2024-11-07,JavaScript,4
ethereum-oasis-op/baseline,576,236,15,800,2024-11-05,,81
privacy-scaling-explorations/maci,521,142,38,1897,2024-11-06,TypeScript,59
acl2/acl2,365,100,110,1636,2024-11-07,Common Lisp,51
zkemail/zk-email-verify,361,77,37,224,2024-11-07,TypeScript,25
stealthdrop/stealthdrop,350,31,17,19,2024-10-07,Circom,4
zk-passport/openpassport,329,57,24,243,2024-11-07,C++,13
proofcarryingdata/zupass,286,75,198,2123,2024-11-07,TypeScript,31
RareSkills/zero-knowledge-puzzles,273,90,0,28,2024-11-02,JavaScript,11
zkp2p/zk-p2p,271,38,10,412,2024-10-28,TypeScript,8
EYBlockchain/nightfall_3,263,56,68,1447,2024-10-07,JavaScript,23
kevinz917/zk-NFT,252,17,0,0,2024-09-24,Solidity,1
bankisan/zkShield,230,23,0,3,2024-10-27,Circom,3
zkopru-network/zkopru,216,28,104,427,2024-09-04,TypeScript,9
zk-ml/linear-regression-demo,213,18,1,6,2024-09-23,Solidity,1
personaelabs/spartan-ecdsa,201,28,4,47,2024-11-06,Rust,5
RingsNetwork/rings,199,18,3,574,2024-11-01,Rust,7
yi-sun/circom-pairing,191,31,8,31,2024-10-28,TypeScript,7
paradigmxyz/zk-eth-rng,173,16,4,18,2024-11-05,Solidity,3
socathie/circomlib-ml,164,20,3,12,2024-11-07,Jupyter Notebook,3
rooch-network/rooch,161,84,217,2863,2024-11-07,Rust,59
polymerdao/plonky2-circom,154,49,4,8,2024-09-17,Rust,2
enricobottazzi/ZK-SBT,152,22,0,5,2024-07-05,Solidity,5
0xEigenLabs/eigen-zkvm,141,36,14,281,2024-11-05,Rust,17
yi-sun/zk-attestor,130,13,0,0,2024-11-05,Python,1
darkforest-eth/circuits,117,45,3,5,2024-10-18,Shell,3
Electron-Labs/ed25519-circom,111,15,9,154,2024-10-21,JavaScript,2
eddieoz/haal,107,17,12,24,2024-10-30,JavaScript,4
franklynwang/EcneProject,107,6,3,6,2024-11-02,Julia,2
rollupnc/RollupNC,105,26,21,54,2024-10-06,JavaScript,5
Unirep/Unirep,95,19,35,583,2024-10-10,TypeScript,27
0xPolygonHermez/pil-stark,95,29,13,71,2024-09-22,Circom,10
TaceoLabs/co-snarks,94,9,30,257,2024-11-06,Rust,10
dmpierre/eth-private-market,91,9,0,0,2024-10-01,Circom,1
zkp2p/zk-p2p-v1,91,8,0,32,2024-08-20,TypeScript,4
nulven/EthDataMarketplace,91,4,1,2,2024-08-21,TypeScript,1
GuthL/roll_up_circom_tutorial,84,20,2,6,2024-10-27,JavaScript,2
nulltea/zk-SQL,84,4,1,8,2024-08-05,Solidity,1
0xPARC/zk-group-sigs,83,9,0,0,2024-09-10,Solidity,3
iden3/circuits,82,14,5,137,2024-10-09,Go,13
zkemail/zk-regex,78,27,17,73,2024-10-28,Circom,15
Tonnel-Network/core,78,15,2,4,2024-11-04,TypeScript,1
nocturne-xyz/protocol,72,59,6,32,2024-11-06,Circom,2
zkMaps/zkMaps,69,6,16,46,2024-11-04,Solidity,3
JofArnold/zkp-learning-in-public,67,1,1,13,2024-09-23,Solidity,1
vplasencia/zkGames,64,16,0,2,2024-11-04,JavaScript,2
rollupnc/RollupNC_tutorial,63,24,3,5,2024-08-05,JavaScript,2
rarimo/passport-zk-circuits,63,14,0,51,2024-11-06,Circom,6
vacp2p/research,62,4,86,196,2024-06-04,Nim,7
TheBojda/zk-merkle-tree,60,13,6,7,2024-10-29,Solidity,1
xorddotcom/SHIELD,60,2,2,27,2024-10-24,TypeScript,3
rdi-berkeley/zkp-course-lecture3-code,60,24,1,1,2024-11-04,Rust,2
chainwayxyz/proof-of-innocence,59,9,2,3,2024-08-22,TypeScript,2
glamperd/snark-example,56,2,0,1,2024-08-22,Dockerfile,1
hermeznetwork/circuits,56,21,10,55,2024-09-19,JavaScript,5
nobitex/sigmab,52,3,1,27,2024-10-10,Circom,7
succinctlabs/telepathy-circuits,51,8,2,12,2024-10-01,Circom,5
getZeFi/circomjs,49,2,7,41,2024-11-05,TypeScript,2
kevinz917/zksnarks-library,48,2,0,0,2024-05-02,Solidity,1
johnson86tw/simple-tornado,47,15,7,7,2024-09-19,TypeScript,1
zkemail/ether-email-auth,47,14,6,84,2024-11-05,Rust,9
factorgroup/nightmarket,47,9,4,68,2024-08-12,JavaScript,4
0xEigenLabs/eigen-secret,46,10,5,195,2024-07-26,TypeScript,4
lucasgleba/zkRiscV,46,6,0,4,2024-10-10,JavaScript,1
privacy-scaling-explorations/incrementalquintree,46,10,2,2,2024-09-22,TypeScript,1
metacraft-labs/DendrETH,45,9,63,392,2024-10-09,Rust,16
Starlight0798/NKU-share,44,3,0,0,2024-11-06,C,1
emmaguo13/zk-blind,44,5,0,2,2024-11-07,TypeScript,7
weavedb/zkjson,43,5,1,126,2024-11-05,JavaScript,4
spo0ds/Zero-to-ZKP,43,8,0,0,2024-10-06,Solidity,1
zksecurity/zkbugs,43,1,3,55,2024-11-06,Circom,2
couger-inc/cream,41,8,3,113,2024-08-05,TypeScript,4
chyanju/Picus,41,10,0,7,2024-10-31,Circom,6
nerolation/EIP-ERC721-zk-SNARK-Extension,39,4,1,1,2024-02-21,Solidity,1
KimiWu123/Samples,38,10,27,33,2024-09-14,C++,3
kendricktan/simple-zk-rollups,37,12,55,64,2024-11-04,TypeScript,1
holyaustin/ZeroSecret,35,0,1,1,2023-05-23,Circom,1
tangle-network/protocol-solidity,35,13,40,351,2024-08-13,TypeScript,14
kilyig/ZheroTag,35,3,0,0,2024-10-25,TypeScript,1
dmpierre/nova-browser-ecdsa,34,1,0,0,2024-03-19,TypeScript,1
Poseidon-ZKP/Applied-ZKP-Workshop,33,6,2,14,2024-02-28,TypeScript,2
geometryxyz/secp256k1_hash_to_curve,32,3,2,5,2024-08-29,TypeScript,3
socathie/circomlib-matrix,32,7,1,3,2024-09-15,JavaScript,1
lyronctk/proactive-refresh,32,1,1,7,2024-02-18,Rust,3
zkFHE/circomlib-fhe,30,0,1,7,2024-11-06,Circom,2
zk-ml/uchikoma,29,2,0,0,2024-05-18,Python,1
TheFrozenFire/snark-jwt-verify,27,3,1,1,2024-09-15,JavaScript,1
pluto/aes-circuits,27,1,1,104,2024-11-01,Circom,8
fluidex/snarkit,26,1,5,19,2024-11-02,TypeScript,5
hyperledger-labs/zeto,25,16,13,103,2024-11-05,Solidity,6
bauti-defi/Zk-MerkleTree,24,0,0,1,2024-08-02,Circom,1
erhant/circom101,24,1,3,7,2024-09-24,Circom,1
privacy-scaling-explorations/nova-ml,23,1,0,0,2024-04-25,Jupyter Notebook,1
TrishaDatta/circom-circuits,23,3,0,0,2024-07-03,Python,1
NIC619/UniRep,23,5,6,18,2024-03-01,TypeScript,3
CPerezz/EthDocs,23,2,0,0,2024-07-09,,1
kandluis/cs251,22,4,7,7,2024-11-07,JavaScript,1
AmanGotchu/RandaoZKP,22,0,1,10,2023-07-22,Solidity,3
crema-labs/aes-circom,22,1,0,8,2024-10-04,Circom,5
HelheimLabs/autochessia,21,14,19,203,2024-06-13,Solidity,4
advaita-saha/zk-Voting,21,1,1,1,2024-11-01,Solidity,1
privacy-scaling-explorations/zk-kit.circom,21,2,5,16,2024-10-28,Circom,3
kunalmodi/battlesnark,21,2,1,1,2024-09-19,Solidity,1
jbaylina/voting_example,19,6,2,2,2023-08-04,JavaScript,1
nobitex/burnth,19,0,6,22,2024-09-27,C++,4
whbjzzwjxq/ZKAP,19,3,4,6,2024-11-07,Circom,1
abdk-consulting/abdk-libraries-circom,18,0,0,0,2024-08-27,,1
DanTehrani/storyform,18,0,0,2,2023-04-04,Solidity,1
darth-cy/NFTA-Tornado-Resources,18,7,1,5,2024-09-28,Circom,2
tokamak-network/circom-ethereum-opcodes,18,6,2,17,2024-08-22,Circom,3
privacy-scaling-explorations/rln,18,4,0,3,2023-09-08,Shell,4
qizhou/research,17,5,0,3,2024-10-17,Python,3
inference-labs-inc/omron-subnet,17,12,1,22,2024-11-05,Jupyter Notebook,6
doubleblind-xyz/double-blind,17,1,4,7,2024-02-28,TypeScript,3
trifle-labs/anybody-problem,16,4,45,367,2024-11-01,Solidity,4
Sindri-Labs/sindri-resources,16,7,3,90,2024-10-18,Go,9
tommymsz006/zkbattleship-circuit,16,30,3,4,2024-08-05,JavaScript,1
oskarth/zkintro-tutorial,15,5,0,1,2024-11-04,JavaScript,2
alxkzmn/zk-wordle,15,0,0,0,2024-11-01,TypeScript,1
WasmJuicer/ceremony,14,56,0,80,2023-05-25,JavaScript,49
weijiekoh/poseidon-encryption-circom,14,2,1,1,2024-08-29,TypeScript,1
liyue201/gnark-circomlib,14,11,0,2,2024-10-24,Circom,3
personaelabs/noun-nyms,14,1,13,247,2024-09-07,TypeScript,5
substrate-asia/hackathon-2023-winter,14,78,0,207,2024-08-05,Rust,78
socathie/ZKaggleV2,14,2,5,14,2024-03-17,Solidity,3
hammurabi-mendes/zk-rollup,14,0,0,0,2024-10-17,JavaScript,1
laudiacay/p1nch,14,0,3,4,2023-12-05,Solidity,2
Galxe/identity-protocol,13,5,0,8,2024-11-04,Circom,4
0xPARC/cabal,13,2,3,53,2024-01-03,TypeScript,4
zkopru-network/blind-find,13,2,14,36,2024-05-03,TypeScript,2
dmpierre/sha1-circom,12,2,1,7,2024-10-10,Circom,2
curryrasul/voan,12,1,0,9,2023-04-20,JavaScript,4
LexiccLabs/zk-rollups,12,11,0,0,2024-09-17,TypeScript,1
privacy-scaling-explorations/webauth-circom,12,1,0,3,2024-10-14,Circom,2
dmpierre/zkrsa,12,2,0,5,2024-08-11,TypeScript,1
privacy-scaling-explorations/circom-ecdsa-p256,12,2,0,2,2024-09-30,Circom,2
lucasgleba/zkSubleq,12,0,0,0,2024-07-07,JavaScript,1
gcc2ge/MIXER-SAMPLE,12,8,1,1,2024-11-06,JavaScript,1
bkomuves/hash-circuits,12,0,0,0,2024-09-19,Haskell,1
Jubzinas/Ouragan,11,1,6,12,2024-07-30,Circom,3
Semiott/RheaNet,11,3,0,0,2024-05-30,Solidity,2
deevashwer/zebra,11,0,1,1,2024-07-25,Rust,1
Railgun-Privacy/circuits-v2,11,7,0,0,2024-06-11,JavaScript,3
didnet/zxDID,11,1,0,0,2024-10-16,Circom,1
ZkBlind/ZkBlindNextJs,10,2,0,17,2024-10-20,Circom,4
iden3/react-native-rapidsnark,10,0,3,14,2024-11-04,Circom,3
Sofianel5/private-zkp2p,10,0,0,0,2024-05-26,TypeScript,1
PrivateGuardian-protocol/PrivateGuardian,10,1,0,3,2024-04-22,Solidity,3
nerolation/zk-PoA-Tokens,10,0,0,0,2024-04-23,Solidity,1
fluidex/circuits,10,5,37,209,2023-06-04,TypeScript,7
rubydusa/proof-of-life,10,2,0,0,2024-04-22,Solidity,1
Standaa/disclose,10,3,0,0,2021-08-30,TypeScript,1
hellsegga-xyz/055-contract,10,1,0,0,2024-02-06,Solidity,1
wavesplatform/anonymous-transactions-prototype,10,6,20,23,2023-02-20,JavaScript,2
amirgamil/zkjson,10,0,0,4,2024-09-23,TypeScript,4
AlexCheema/Script,10,0,0,1,2024-10-03,Solidity,2
johnson86tw/circom-playground,10,1,0,0,2023-12-21,JavaScript,1
tokamak-network/Tokamak-ZkEVM,10,3,1,19,2024-10-13,JavaScript,3
wanseob/zk-optimistic-rollup,10,1,16,18,2024-02-06,Solidity,1
dorahacksglobal/qf-maci,10,1,0,1,2024-02-19,Solidity,2
allemanfredi/lens-protocol-poll-module,10,1,0,0,2024-04-23,Solidity,1
SeismicSystems/network-states-enclave,9,1,3,47,2024-03-26,TypeScript,4
0xEigenLabs/zk-dex,9,0,0,16,2024-04-23,Solidity,2
hushhush-aave/hushpool-zk,9,2,1,1,2021-08-17,JavaScript,1
zk-poll/zk-poll,9,2,2,39,2024-11-01,Solidity,7
nixkitax/circom-schnorr-verify,9,2,0,1,2024-10-03,Circom,1
succinctlabs/telepathyx,9,8,0,10,2024-09-14,Circom,4
yonadaaa/SNARKTag,9,1,0,1,2024-04-22,Solidity,1
zkwebauthn/webauthn-circom,8,1,0,1,2024-06-18,Circom,2
0xPolygonHermez/pil2-stark-js,8,3,4,6,2024-08-13,JavaScript,4
masa-finance/masa-zkSBT,8,6,4,175,2024-08-27,TypeScript,4
JetonDAO/jeton,8,0,0,63,2024-11-06,Move,5
dmpierre/zkconnect4,8,0,0,0,2024-07-05,TypeScript,1
getZeFi/circomjs-starter,8,0,0,1,2023-07-24,JavaScript,1
bajpai244/circom_c_witness_generator,8,0,0,0,2024-09-23,C++,1
wenjin1997/zkshanghai-workshop,8,5,0,0,2024-10-26,Circom,1
noway/nzcp-circom,8,1,0,9,2024-09-23,JavaScript,1
8e8b2c/zkholo-battleships,8,0,0,0,2024-03-22,Rust,1
zkonduit/formalbenchmarks,8,0,1,1,2024-04-16,Python,2
Veridise/zk-language-comparison,7,1,3,3,2024-10-30,Rust,4
dilawar/playground,7,3,0,0,2024-11-02,C,1
spo0ds/ZkpPuzzleSolution,7,2,0,0,2024-05-04,JavaScript,1
Galactica-corp/galactica-monorepo,7,5,1,88,2024-11-01,TypeScript,6
arvid220u/zkmao,7,0,0,20,2024-09-02,JavaScript,2
DelphinusLab/delphinus-zkp,7,2,0,64,2024-10-23,TypeScript,8
tamago-labs/zkgpt,7,1,0,0,2024-10-15,Circom,1
reclaimprotocol/zk-symmetric-crypto,7,5,7,14,2024-11-07,Go,7
applied-crypto/heimdall,7,4,2,3,2024-08-07,JavaScript,1
nullity00/zkp-mooc-berkeley,6,0,1,1,2024-10-18,JavaScript,2
qiwihui/tornadocash,6,1,0,0,2024-11-04,Solidity,1
KimiWu123/zkvote,6,3,3,3,2024-06-07,JavaScript,3
galletas1712/cassiopeia,6,1,1,4,2024-10-18,C++,1
zigtur/zk-learning.org-course,6,5,0,0,2024-05-30,Rust,2
codex-storage/codex-contracts-eth,6,9,43,199,2024-10-30,JavaScript,11
krlosMata/devconVI-workshop,6,2,0,1,2024-02-10,JavaScript,2
hypersign-protocol/zk-kyc-using-ibc,5,2,1,4,2024-08-01,Circom,3
zk-crypto-research/streebog-circom,5,0,0,0,2024-05-21,Circom,1
iden3/distanceProver,5,0,11,12,2024-10-15,C++,1
kudelskisecurity/circom-ciminion,5,1,0,0,2024-08-12,JavaScript,1
weijiekoh/snarschain,5,1,1,1,2023-03-05,TypeScript,1
busyapedao/zksafebox-contract,5,4,0,0,2022-12-17,JavaScript,1
weijiekoh/snarsma-mvp,5,4,0,0,2020-09-15,JavaScript,1
kr1983/zklogin-circuit,5,12,0,0,2024-10-11,,2
ChainSafe/recursive-zk-bridge,5,1,0,2,2024-03-26,Rust,1
TaceoLabs/zksummit12_workshop,5,0,0,0,2024-10-14,Circom,3
semaphore-protocol/research,5,3,0,25,2024-09-08,TypeScript,2
anon-aadhaar/anon-digilocker,5,1,0,0,2024-08-29,TypeScript,1
cryptosguru/CryptoMixer,4,4,0,0,2024-02-29,JavaScript,1
flyingnobita/nft-zk,4,1,0,0,2023-12-28,C++,1
voidcenter/ew-zw,4,0,0,0,2024-09-02,TypeScript,1
flyq/zkdemo,4,0,0,0,2024-01-24,Rust,1
term-structure/TS-Circom,4,0,0,0,2024-08-21,Circom,1
oxor-io/sam-circuits,4,1,0,1,2024-09-19,Circom,2
zkpnftdrop/project,4,0,1,5,2022-09-08,TypeScript,3
bunny-sleepy/private-bridge-zcash-ethereum,4,1,0,0,2024-10-05,Solidity,2
sisu-network/sisu-bridge,4,0,0,0,2024-08-21,Circom,1
