Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
a16z/jolt,708,168,55,11,2024-12-17,Rust,51
lbc-team/Pioneer,223,55,102,7,2024-12-18,Python,21
a16z/zkvm-benchmarks,59,16,1,3,2024-12-16,Rust,3
MatteoMer/any-zkvm,36,3,1,1,2024-12-17,Rust,1
babybear-labs/benchmark,20,2,16,23,2024-12-15,Rust,5
inference-labs-inc/omron-subnet,17,14,7,39,2024-12-13,Assembly,7
Sindri-Labs/sindri-resources,16,7,3,2,2024-10-18,Go,9
stackrlabs/succinct-residency-exps,11,1,6,2,2024-12-17,Rust,3
cysic-labs/jolt-b,7,1,0,0,2024-10-26,Rust,2
flyq/jolt_verifier_canister,4,0,0,0,2024-07-16,Rust,1
Marky-Shi/zk_notes,3,0,0,5,2024-12-04,,1
viniciusthiengo/AdsAppJolt,3,1,0,0,2023-04-03,Java,1
Nuffle-Labs/near-zk-light-client-jolt,2,0,0,0,2024-06-14,Rust,1
lita-xyz/benchmarks,2,3,2,6,2024-12-16,C,2
WillPapper/zkvm-uuid-generation,2,0,0,4,2024-11-21,Rust,1
Xor0v0/ZK-Puzzle-Writeups,2,0,0,0,2024-10-15,,2
kwancarl/acl2-jolt,1,0,0,0,2024-12-02,Rust,2
NebraZKP/test-zkvm,1,2,0,0,2024-08-02,Rust,1
OpacityLabs/jolt-react-native,1,0,0,0,2024-07-30,Rust,1
doutv/jolt-demo,1,0,0,0,2024-05-05,Rust,1
lurk-lab/zkvm-benchmarks,1,0,0,3,2024-12-11,Rust,2
sausaging/jugalbandi,1,3,3,6,2024-05-12,Rust,2
flyq/jolt_expand,1,0,0,0,2024-05-06,Rust,1
larry-lime/zk-benchmark2,0,1,0,9,2024-12-17,Rust,4
tpai/unity-tutor,0,0,0,0,2021-12-24,,1
Marky-Shi/jolt_example,0,0,0,0,2024-09-27,Rust,1
fibonhack/MOCA-2024-finals-challs,0,0,0,0,2024-09-23,Jupyter Notebook,1
OpacityLabs/jolt-playground,0,1,0,0,2024-04-11,Rust,1
Pi-Squared-Inc/zk-benchmark,0,0,0,10,2024-11-27,Cairo,5
banr1/forked-jolt,0,0,0,0,2024-10-04,Rust,42
guelowrd/zik-zak-zoo-JOLT,0,0,0,0,2024-09-16,Rust,1
OpacityLabs/jolt-eddsa,0,0,0,0,2024-04-12,Rust,1
fermah-xyz/prover_examples,0,1,1,1,2024-10-08,Rust,1
yasuhide0802/omicron-supernova,0,0,0,0,2024-10-05,Jupyter Notebook,5
fmhall/chess-program,0,0,0,0,2024-05-02,Rust,1
gnosisguild/pove,0,0,0,0,2024-08-12,Rust,2
khandar-william/dynamic-link-jolt,0,0,0,0,2024-10-23,Rust,1
