Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
microsoft/winget-pkgs,8824,4614,1120,3981,2024-12-18,PowerShell,3252
ProvableHQ/leo,4791,661,677,472,2024-12-17,Rust,50
Leon406/ToolsFx,1639,273,5,7,2024-12-17,Kotlin,2
openupm/openupm,1597,891,20,109,2024-12-18,JavaScript,858
leo-editor/leo-editor,1500,158,14,85,2024-12-17,Python,44
leovan/SciHubEVA,1002,158,2,2,2024-12-18,Python,5
bikass/kora,724,34,3,5,2024-12-16,Shell,12
waferbaby/usesthis,579,118,0,3,2024-12-09,HTML,39
ravichugh/sketch-n-sketch,553,31,15,4,2024-12-02,Elm,9
noopkat/avrgirl-arduino,508,129,40,6,2024-12-13,JavaScript,31
jlippold/tweakCompatible,395,90,1608,15,2024-12-04,JavaScript,8
ProvableHQ/workshop,333,265,28,2,2024-12-17,Shell,7
MrChromebox/coreboot,261,65,5,13,2024-12-06,C,762
f-droid/fdroiddata,255,73,0,21,2024-12-18,Python,1701
AleoNet/aleo-education,250,202,8,13,2024-12-13,,3
ganlinte/GKD-subscription,241,6,0,3,2024-12-17,TypeScript,4
lining90567/leo-im-server,216,121,7,10,2024-12-10,Java,1
leolewis/openvisualtraceroute,171,32,15,28,2024-12-16,Java,2
kaleguy/leovue,167,26,38,2,2024-12-12,JavaScript,1
ranenbg/Arduino-FFB-wheel,164,20,4,2,2024-12-17,C++,1
eried/ArduboyCollection,154,65,0,5,2024-12-07,,48
sisbell/chatgpt-plugin-store,125,16,1,2,2024-12-08,,1
malpedia/signator-rules,116,7,0,2,2024-12-15,YARA,3
HarukaMa/aleo-explorer,115,79,8,46,2024-12-18,Python,10
luleyleo/clapgrep,98,5,19,2,2024-12-18,Rust,6
l6174/hyprdots,95,2,1,2,2024-12-15,Shell,1
bitfinexcom/bitfinex-terminal,68,22,11,30,2024-10-15,JavaScript,4
scrapy/protego,56,28,6,2,2024-11-26,DIGITAL Command Language,17
metacore/A2OS,49,12,0,0,2024-07-17,Modula-2,1
elementary/appcenter-web,43,11,23,2,2024-09-04,HTML,14
DLR-SC/repository-synergy,38,7,2,3,2024-12-01,Jupyter Notebook,1
0x9simon/slaysybil,37,13,0,7,2024-11-21,Python,2
joan31/dotfiles-sway,36,2,1,2,2024-06-04,,1
boltex/leojs,34,3,8,4,2024-11-27,TypeScript,2
trusttoken/aleo-stablecoin-workshop,31,37,25,31,2024-02-10,Shell,2
leonside/dataroad-all,29,8,1,1,2024-09-05,JavaScript,1
MrXiaoXiao/SiameseEarthquakeTransformer,25,4,1,1,2024-05-25,Jupyter Notebook,1
whoim2/arduremote,24,7,0,0,2024-12-10,C++,1
noopkat/arduboy-electron,22,0,0,1,2024-07-01,HTML,1
Vucko95/Computer-Science-Notes-Only-Source-Code-,21,36,0,0,2023-08-21,,1
demox-labs/aleo-standard-programs,18,16,5,31,2024-10-31,TypeScript,5
flaki/arduboy-rund-ino,17,4,2,2,2024-08-27,Arduino,1
petikvx/OfficeMalwares,16,0,0,0,2024-11-02,VBA,1
tbpassin/gf4-project,15,0,4,2,2024-06-06,Python,1
leo-editor/snippets,13,0,0,3,2022-08-04,Python,6
CoraIite/Coralite-Mod,13,4,2,18,2024-12-12,C#,5
lambdaclass/aleo_minimum_anti_collusion_infrastructure,13,3,3,2,2024-02-20,Rust,6
frontendcafe/FEC-coding-interview-prep,12,12,0,46,2023-12-18,C++,13
mauforonda/mastodon_timeline,12,2,0,0,2024-05-31,Python,1
hed0x/malwares-collection,11,22,0,0,2024-12-10,PHP,1
leo-editor/leo-editor-contrib,10,4,2,10,2024-12-13,Python,4
satishgoda/leo-editor-tutorial,8,1,1,1,2024-02-08,Python,1
zsociety-io/aleo-dcp,8,1,0,2,2024-10-19,Rust,1
tjesi/security-scan,8,3,5,24,2024-06-23,TeX,2
kaleguy/leo-examples,7,2,0,1,2024-04-06,HTML,1
hankso/EmBCI,7,5,1,1,2024-04-28,Python,1
bluesign/flow-mainnet-contracts,7,0,1,1,2024-04-19,Cadence,1
briansm-github/mazogs,7,2,1,1,2022-03-30,C,1
AlienKevin/Emojis-AutoKey,7,3,1,2,2024-10-06,Python,1
acoppes/unity-gemserk-utilities,7,0,0,0,2024-12-17,C#,1
radioconda/gr-leo,7,2,0,3,2024-08-08,C++,6
natgo/wt-wiki-scraper,7,0,1,6,2024-10-17,HTML,1
