Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
lurk-lab/lurk-beta,435,58,94,26,2024-12-10,Rust,34
malpedia/signator-rules,116,7,0,2,2024-12-15,YARA,3
lurk-lab/lurk,52,5,48,8,2024-12-15,Rust,12
hophacker/bitcoin_public_data,18,25,3,3,2024-10-25,PHP,1
lurk-lab/lurk-lib,18,1,5,38,2024-12-11,,7
project-illium/ilxd,14,8,9,4,2024-11-29,Go,9
christian-byrne/custom-nodes-security-scan,14,0,0,0,2024-09-26,YARA,1
mauforonda/mastodon_timeline,12,2,0,0,2024-05-31,Python,1
LurkingNinja/com.lurking-ninja.player-loop,11,2,0,2,2024-12-15,C#,1
Veridise/zk-language-comparison,9,2,2,3,2024-12-02,Rust,7
tjesi/security-scan,8,3,5,24,2024-06-23,TeX,2
DIVD-NL/observer,5,0,0,1,2023-02-14,,1
LurkingNinja/com.lurking-ninja.csharp-templates,4,0,0,0,2024-11-29,C#,1
threethan/MetaMetadata,3,2,1,1,2024-12-18,Python,2
zraffo/poker_learn,3,6,0,0,2022-07-12,Parrot,1
danfinlay/ro-shhhambo,2,0,0,0,2024-09-28,Scheme,2
MuKnSys/glow-on-lurk,1,0,0,0,2024-03-15,Haskell,5
LurkingNinja/com.lurking-ninja.codegen,1,0,0,0,2024-12-15,C#,1
poonia80ravi/Yara_Rules,1,0,0,0,2024-07-27,YARA,1
Gurummang/YARA-Server,1,0,0,32,2024-12-18,YARA,3
linuxwellness/secure_linux,1,0,0,0,2024-03-01,YARA,1
LurkingNinja/RandomExtensions,1,0,0,0,2024-11-23,C#,1
rszibele/tuxclocker-flatpak,1,0,0,0,2020-04-10,,1
patricoferris/scratch,1,0,0,1,2023-03-31,Rust,1
C1rdec/Hunt-Lurker,1,0,0,0,2024-01-11,C#,1
ChristianoBraga/credit-score,1,0,0,0,2023-10-28,JavaScript,1
custodian-terra-money/lurk-rs,1,0,0,0,2023-10-04,Rust,9
TeamRockhopper/Rockhopper-Airships,1,1,0,3,2022-01-23,ZenScript,3
chancehudson/lurk-test,0,0,0,0,2024-03-18,Rust,1
Phys09/mc-servers,0,0,0,0,2023-02-02,ZenScript,1
TeamRockhopper/Rockhopper-Hardcore-Survival,0,0,0,0,2020-12-13,ZenScript,1
xackery/madpackhack,0,0,0,0,2016-01-14,,1
MeisamEb/Repository-of-yara-rules,0,0,0,0,2024-11-10,YARA,1
serenitymcnet/YariConfig,0,0,0,1,2017-06-22,Python,1
EEEEEEEEEEEEEEEEEEEIEEEEEEEEEEEEEEEEEE/SCENENOTiCES,0,1,0,0,2024-08-12,,1
LurkingNinja/com.lurking-ninja.cheat-code,0,0,0,0,2024-01-02,C#,1
p3ngdump/yara-repository,0,1,0,0,2022-07-18,YARA,1
IronWort/signatures,0,0,0,0,2022-08-01,YARA,1
y11en/test_clamav,0,0,0,0,2022-11-01,,1
n4zim/.activitypub.mod.pm,0,0,0,0,2024-12-18,TypeScript,2
Pi-Squared-Inc/zk-benchmark,0,0,0,10,2024-11-27,Cairo,5
sammwyy/Liteshi,0,0,0,0,2024-08-02,YARA,1
