Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
nexus-xyz/nexus-zkvm,749,240,34,286,2024-11-16,Rust,28
VideoExpertsGroup/VXG.Media.SDK.Android,142,65,15,26,2024-09-27,Java,8
blackowltr/Testnetler-ve-Rehberler,88,138,0,12,2024-11-10,Shell,6
dante4rt/Ramanode-Guides,69,56,2,16,2024-11-10,Shell,4
ruesandora/Nexus,66,84,0,2,2024-11-11,,3
OpenVnmrJ/OpenVnmrJ,32,14,29,975,2024-11-14,C,5
rmndkyl/MandaNode,18,6,0,1,2024-11-15,Shell,1
drkhayal/drkhayal,7,3,0,0,2024-11-12,,1
ava-world/TUTORIALS,6,12,0,1,2024-09-26,,1
vacp2p/nescience-zkvm-testing,6,2,2,2,2024-10-17,Rust,2
stackrlabs/succinct-residency-exps,6,1,6,80,2024-11-10,Rust,3
jules/nexus-nn,6,0,0,0,2024-10-08,Rust,1
SHAKTHIVASEE/For-Nexus-guide,6,38,0,0,2024-10-25,,1
winsnip/Nexus,5,2,0,0,2024-11-12,,1
TristanCecil/Phishbot,5,11,1,1,2024-08-12,HTML,1
Marky-Shi/zk_notes,3,0,0,5,2024-11-11,,1
semiotic-ai/uniswap-v4-hookathon,1,1,0,7,2024-09-10,Rust,3
nncu1/nexus-c,1,0,0,0,2024-08-18,Shell,1
guelowrd/zik-zak-zoo-nexus,1,0,0,0,2024-09-09,Rust,1
pirapira/salary-nego,1,0,0,0,2024-05-09,Rust,1
alexbowe/nexus-project,0,0,0,2,2024-06-28,Rust,1
GhostOfGauss/test-nexus-vm,0,0,0,0,2024-08-04,Rust,1
InfoardropCrypto/nexus,0,0,0,0,2024-10-10,,1
flyq/nexus-fib-demo,0,0,0,0,2024-07-20,Rust,1
TobiasLoader/zk-playground,0,0,0,0,2024-07-26,Shell,1
isabelle817/RamanodeGuides,0,5,0,5,2024-10-05,Shell,8
LawrencePatrickSianto/nexus-tester,0,0,0,0,2024-04-05,Rust,1
blackowltr/blackowltr.github.io,0,0,0,0,2024-08-29,JavaScript,2
BaffledHedgehog/lbc,0,0,0,0,2024-11-15,mcfunction,2
krayir23/docs,0,0,0,0,2024-11-05,MDX,1
rishi95122/Frontend,0,0,0,0,2024-06-25,TypeScript,5
whonore/zk-sat,0,0,0,0,2024-05-17,Rust,1
Skips1/Nexus,0,0,0,0,2024-07-07,,1
Marky-Shi/nexus-zkvm-demo,0,0,0,1,2024-09-10,Rust,1
zieglerm31/poc,0,0,0,0,2024-10-08,TypeScript,1
lordx64/nexus-doom,0,0,0,0,2024-09-10,Rust,1
silathdiir/nexus-ex,0,0,0,0,2024-04-22,Rust,1
Ferdimanaaa/nexus,0,0,0,0,2024-07-24,Shell,1
