Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
noir-lang/noir,924,213,415,135,2024-12-14,Rust,95
openpassport-org/openpassport,356,60,27,6,2024-12-15,C++,13
AztecProtocol/aztec-packages,215,256,1003,215,2024-12-14,C++,109
tonk-labs/dappicom,135,10,9,44,2024-11-19,Rust,5
Slokh/anoncast,123,41,1,2,2024-12-14,TypeScript,7
TaceoLabs/co-snarks,108,11,24,6,2024-12-11,Rust,11
AztecProtocol/aztec-nr,107,40,6,9,2024-12-15,Noir,39
spalladino/zkp-tests,104,7,0,0,2024-09-23,Solidity,1
vezenovm/simple_shield,88,10,5,13,2024-08-20,Solidity,3
aragonzkresearch/noir-trie-proofs,62,14,3,33,2024-12-03,Roff,8
microbecode/zk-languages,58,8,1,5,2024-12-04,Starlark,2
colinnielsen/dark-safe,56,2,0,2,2024-12-11,Solidity,1
zkemail/zkemail.nr,54,6,12,32,2024-12-12,Noir,6
RareSkills/noir-puzzles,50,22,3,29,2024-11-02,Solidity,6
agencyenterprise/zkgraph-bnb-hack,49,1,1,17,2024-11-19,Python,5
eryxcoop/acvm-backend-plonky2,44,0,0,2,2024-11-11,Rust,3
noir-lang/noir-examples,44,15,9,33,2024-12-11,Solidity,10
sambarnes/noir-by-example,42,6,4,17,2024-09-23,Rust,4
polybase/zk-benchmarks,41,6,3,2,2024-10-17,Rust,5
richardliang/noir-rsa,41,7,2,18,2024-10-31,Rust,4
Ethan-000/halo2_backend,37,11,8,2,2024-12-12,Rust,6
lambdaclass/noir_backend_using_gnark,32,3,4,2,2024-09-14,Go,3
zkpassport/circuits,27,3,0,4,2024-12-15,TypeScript,3
AlexCheema/Graphite,25,3,1,1,2024-10-03,Solidity,4
jat9292/Private-token,25,3,1,1,2024-11-16,Solidity,2
worldfnd/ProveKit,24,1,0,0,2024-12-15,Rust,3
privacy-scaling-explorations/zk-kit.noir,23,6,2,24,2024-12-11,Noir,6
vlayer-xyz/monorepo,22,5,4,7,2024-11-01,Rust,7
onurinanc/noir-bn254,21,1,3,3,2024-11-20,Roff,1
madztheo/noir-react-native-starter,20,5,1,6,2024-12-05,TypeScript,2
0x3327/SKProof,18,3,0,0,2024-02-03,Python,3
defi-wonderland/aztec-patterns,16,1,0,13,2024-09-14,Rust,3
noir-lang/noir-bignum,16,10,15,2,2024-12-09,Noir,14
Sindri-Labs/sindri-resources,16,7,3,2,2024-10-18,Go,9
YtzBeno/elliptic-curve-noir,16,0,0,0,2024-09-15,Roff,1
1kx-network/zksafe,16,3,4,10,2024-11-07,Solidity,3
tonk-labs/gribi,15,2,0,4,2024-11-15,Solidity,3
aragonzkresearch/nouns-anonymous-voting,15,1,1,17,2024-09-15,Solidity,3
jordan-public/evm-private-execution,15,3,0,0,2024-08-16,Solidity,1
Maddiaa0/noir-storage-proofs-demo,14,1,0,0,2024-12-03,Solidity,1
GraphitiLabs/zkaptcha,13,4,1,3,2024-08-16,Solidity,2
richardliang/zkdsl-workshop,13,2,1,1,2024-10-28,Rust,1
TomAFrench/frogcrypto,12,2,0,0,2024-12-10,Roff,1
Maddiaa0/solidity-circuits,12,0,1,1,2024-12-04,Solidity,1
spalladino/hardhat-noir,12,0,1,2,2023-06-13,Solidity,1
abhi3700/My_Learning_Cryptography,11,0,0,1,2024-12-12,Solidity,1
resurgencelabs/fraction,11,0,0,0,2024-09-14,Roff,2
Bank-of-JubJub/base,10,4,23,44,2024-12-12,Solidity,2
Swoir/Swoir,10,1,2,3,2024-12-10,Swift,2
knot-inc/noxx-contract,10,1,0,41,2024-04-23,Solidity,1
nfurfaro/hunter,10,0,6,15,2024-12-02,Rust,1
vocdoni/smtverifier-noir,9,2,0,3,2024-09-14,Roff,3
noir-lang/noir_json_parser,9,3,4,23,2024-12-04,Noir,6
defi-wonderland/aztec-private-oracle,9,1,3,25,2024-09-15,Rust,5
sirasistant/brillig-vm-circuit,9,1,0,1,2023-11-14,Rust,2
zobront/aztec-poker,9,1,1,1,2024-09-15,Rust,1
ZKCamp/noir-toy-hashing-assignment,8,31,14,16,2024-03-05,Roff,1
noir-lang/noir_string_search,8,6,5,17,2024-12-04,Noir,5
distributed-lab/noir-plume,7,1,1,8,2024-11-14,Noir,2
TomAFrench/keccak256-noir,7,2,2,12,2023-03-12,Roff,2
jordan-public/billion-zk-voters,7,0,0,0,2024-11-26,Solidity,1
manu-bhadoria/statnr,6,0,0,0,2024-10-11,Roff,1
RareSkills/noir-zk-fullstack-example,6,2,0,0,2024-10-27,TypeScript,2
resurgencelabs/noir_education,6,0,0,0,2024-09-14,Roff,2
RajeshRk18/kzg-verifier,6,0,0,0,2024-09-14,Roff,1
Savio-Sou/noir-benchmarks,6,2,0,3,2024-06-25,Shell,3
guipublic/crypdoku,6,1,0,1,2024-03-31,Roff,1
metavind/noir-ml,6,0,0,1,2024-09-14,Roff,1
michaelelliot/noir-sha2,6,0,0,0,2024-09-14,Rust,1
colinnielsen/noir-array-helpers,5,9,2,12,2024-11-27,Noir,3
TaceoLabs/noir-griffin,5,1,0,5,2024-11-11,Noir,2
resurgencelabs/phy_vector,5,0,0,0,2024-09-14,Roff,1
noir-lang/tiny-noirjs-app,5,9,2,13,2024-10-21,JavaScript,3
resurgencelabs/ikigai_backend,5,1,1,2,2024-08-30,Roff,3
ZKCamp/stealthdrop-assignment,5,31,6,7,2023-11-20,TypeScript,1
resurgencelabs/types,5,1,0,1,2024-09-15,Roff,4
tsujp/tikan,5,0,0,0,2024-11-18,Rust,1
fluidkey/ethdam-2024,4,0,0,0,2024-04-17,Solidity,3
noir-lang/noir_bigcurve,4,2,6,23,2024-12-12,Noir,7
manu-bhadoria/CSPRNG,4,0,1,1,2024-09-29,Roff,1
porco-rosso-j/aztec-dex-build,4,0,0,0,2024-11-23,Roff,1
resurgencelabs/ikigai,4,0,0,0,2023-10-27,Roff,3
SleepingShell/darkforest-noir,4,0,0,1,2023-08-17,Roff,1
noir-lang/noir-edwards,4,1,1,18,2024-12-04,Noir,4
santi-nihany/certo,4,0,0,6,2024-09-23,TypeScript,5
madztheo/noir-large-integer,4,1,0,1,2024-09-15,Rust,2
partylikeits1983/privacy-vote,4,0,0,0,2024-05-08,Solidity,1
manu-bhadoria/noir-fixed-point,4,0,0,0,2024-09-14,Roff,1
tisura-labs/zk-kyc-app,4,0,0,9,2024-08-20,JavaScript,1
ZK-Hack/puzzle-shadow,4,1,0,0,2024-12-14,Noir,3
vezenovm/aztec-circuits-noir,4,0,0,6,2024-09-14,Roff,1
TaceoLabs/noir-hydra,4,0,0,3,2024-12-06,Noir,2
catmcgee/ethrome,4,1,0,0,2024-11-23,JavaScript,1
TaceoLabs/noir-poseidon,4,0,0,2,2024-11-11,Noir,3
saleel/gitclaim,4,1,0,2,2024-12-04,TypeScript,1
oxor-io/sam-circuits,4,1,0,1,2024-09-19,Circom,2
noir-lang/zk_bench,3,0,10,17,2024-10-03,Circom,3
dry-ethglobal-brussels/dry-mobile-app,3,0,1,1,2024-12-11,Solidity,2
informalsystems/cycles-sandbox,3,0,9,10,2024-11-24,Rust,2
resurgencelabs/nft_standards,3,1,0,1,2024-08-30,Rust,3
0xrishabh/zkPic,3,0,0,2,2024-11-07,TypeScript,2
olehmisar/noir_webauthn,3,0,1,1,2024-12-04,Noir,1
deanmlittle/secp256k1-zkdn,3,0,0,0,2024-12-13,Noir,1
puzzlehq/aztec-sandbox-vite-starter,3,0,0,0,2024-08-15,TypeScript,1
Envoy-VC/zk-guesser,3,0,1,1,2024-10-04,Solidity,2
signorecello/froglin-game,3,0,0,1,2024-12-05,Rust,1
Beat-Bridge/BeatBridge,3,2,0,11,2024-11-26,TypeScript,3
AztecProtocol/ab2,3,28,14,31,2024-11-18,TypeScript,5
ZeroK-Labs/froglin,3,1,1,5,2024-12-11,TypeScript,2
visoftsolutions/noir_swift,3,1,0,2,2024-11-15,Swift,1
eternauta1337/zeronaut,3,0,0,0,2024-10-23,Solidity,1
LucasAschenbach/content-commitment-protocol,3,1,0,6,2024-05-23,TypeScript,4
colinnielsen/noir-verify-ecdsa_secp256k1,3,0,0,0,2023-06-13,TypeScript,1
mashharuki/ZKRepo,3,0,0,0,2024-12-12,Solidity,1
succinctlabs/noir-example,3,0,0,0,2024-09-15,Solidity,3
partylikeits1983/zk-imt,3,0,0,0,2024-11-15,Solidity,1
CatKevin/zk-simulated-trading,3,1,0,0,2024-05-09,Solidity,1
partylikeits1983/tornado-2.0,2,0,0,0,2024-11-16,Solidity,1
bauti-defi/Noir-Playground,2,0,0,0,2024-08-06,Roff,1
blocksense-network/benchmarking-noir,2,0,0,4,2024-10-22,Noir,2
RajeshRk18/noir-secp256k1-hash-to-curve,2,0,0,0,2024-03-18,Roff,1
Jigsaw-23122002/ETH-Mumbai-2024,2,0,0,0,2024-11-05,TypeScript,3
zk-scaling-group5/merkle-tree-noir,2,1,0,1,2024-11-24,Solidity,3
okuyiga/noir-bigint,2,2,0,3,2023-05-18,Roff,1
zac-williamson/noir-optimized-poseidon,2,0,0,0,2024-09-14,Roff,1
ewynx/noir-elgamal,2,0,0,0,2024-09-14,Roff,1
storswiftlabs/zkml-noir,2,0,0,0,2024-05-08,Python,3
dhrupad-sah/ZK-Gas,2,1,1,1,2024-06-27,Solidity,5
ZeKshop/circuits,2,0,0,0,2024-12-05,TypeScript,1
ToJen/circuit-breaker,2,1,0,1,2024-02-19,Solidity,3
brech1/zk-attestation,2,0,0,0,2024-10-10,Rust,1
Shritesh99/deref,2,1,0,0,2024-08-02,Solidity,4
jimjimvalkema/scrollZkStorageProofs,2,0,0,0,2024-11-05,Noir,1
hooperben/zkOfficer,2,0,0,0,2024-06-05,TypeScript,2
michaelelliot/noir_recursion_pattern,2,0,0,0,2024-10-23,Rust,1
knocks-public/2024-CircuitBreaker,2,0,17,3,2024-06-21,TypeScript,3
noir-lang/sparse_array,2,1,0,5,2024-11-14,Noir,3
storswiftlabs/matrix_operations,2,0,0,0,2024-09-29,Roff,2
oxor-io/zk-layer-vote,2,1,0,4,2024-08-07,Solidity,6
catmcgee/aztec-voting-workshop,2,1,0,1,2024-07-16,Roff,1
brweisz/PSE-Core-Program-2024-,1,0,0,0,2024-08-24,JavaScript,2
savchart/eth_vote_module,1,0,0,0,2024-06-05,TypeScript,1
TUM-Blockchain-Club/zkGame,1,0,0,0,2024-03-25,TypeScript,3
eugenioclrc/MercadoBarrani,1,0,0,0,2024-08-04,Solidity,2
olehmisar/six-dos,1,0,0,1,2024-06-05,TypeScript,2
0xrafi/degen-score,1,0,0,0,2024-10-09,TypeScript,1
vlayer-xyz/noir-profiling,1,0,0,8,2024-04-26,TypeScript,2
DappaDanDev/green-zktricity_,1,0,0,0,2024-01-05,Roff,1
gabrielantonyxaviour/luffy,1,0,0,16,2024-09-21,Solidity,2
emirsoyturk/eth-global-istanbul,1,1,0,0,2023-12-07,Solidity,3
Envoy-VC/noir_jwt,1,0,2,4,2024-11-18,TypeScript,2
ToxicPine/zkpa,1,0,0,0,2024-03-17,JavaScript,2
