Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
Dapp-Learning-DAO/Dapp-Learning,5182,1323,19,1180,2024-11-15,Solidity,200
risc0/risc0,1680,426,153,2469,2024-11-17,C++,100
risc0/zeth,381,68,20,116,2024-11-16,Rust,12
Sovereign-Labs/sovereign-sdk,377,107,138,1399,2024-11-17,Rust,27
ZpokenWeb3/zk-light-client-implementation,258,13,1,11,2024-10-27,HTML,8
lbc-team/Pioneer,220,55,102,338,2024-11-15,Python,21
zkoranges/zkPoEX,216,13,3,4,2024-11-13,Rust,2
lambdaclass/lambda_ethereum_rust,175,21,265,1197,2024-11-17,Rust,30
fluencelabs/aquavm,147,14,34,856,2024-09-07,Rust,20
delendum-xyz/zk-benchmarking,128,17,2,32,2024-10-31,Rust,11
chainwayxyz/citrea,126,26,115,1458,2024-11-13,Rust,23
taikoxyz/raiko,124,91,50,407,2024-11-12,Rust,31
anoma/zkp-compiler-shootout,120,13,7,35,2024-11-01,Rust,11
risc0/risc0-ethereum,94,20,32,329,2024-11-14,Rust,18
Eclipse-Laboratories-Inc/zk-bpf,83,28,0,0,2024-10-30,Rust,1
0xfuturistic/zkUniswap,81,3,0,0,2024-10-08,Solidity,12
emilianobonassi/zkFHE,79,2,3,4,2024-10-28,Rust,1
chainwayxyz/bitvm-zk-verifier,74,12,2,14,2024-10-31,C,4
thor314/circuit-examples,72,5,0,0,2024-11-13,Rust,1
ustas-eth/zkEVM-Bootcamp,66,9,0,0,2024-10-23,Rust,1
ExtropyIO/ZeroKnowledgeBootcamp,63,122,0,34,2024-11-15,Cairo,4
anagrambuild/bonsol,59,9,23,94,2024-11-06,Rust,6
starkoracles/zkos,59,6,0,16,2024-09-10,Rust,12
risc0/risc0-lean4,57,4,0,40,2024-11-07,Lean,3
a16z/zkvm-benchmarks,57,15,1,3,2024-11-13,Rust,3
chainwayxyz/clementine,56,13,44,361,2024-11-11,Rust,8
logos-co/nomos-node,52,18,103,918,2024-11-09,Rust,19
risc0/demos,49,15,7,42,2024-10-31,HTML,10
risc0/battleship-example,43,7,5,23,2024-10-04,Rust,6
polybase/zk-benchmarks,41,6,3,68,2024-10-17,Rust,5
Hyle-org/hyle,31,14,4,321,2024-11-17,Rust,9
Nakshatra05/SecureFi,31,9,0,0,2024-08-16,Rust,1
vacp2p/zk-explorations,31,6,2,40,2024-07-21,Circom,4
yetanotherco/zkRust,30,11,7,55,2024-11-13,Rust,7
SecurFi/zkProver,28,3,0,1,2024-11-13,Rust,2
iotexproject/w3bstream,26,18,6,747,2024-11-17,Go,13
alpenlabs/strata,24,1,13,477,2024-11-17,Rust,12
jonas089/L2-sequencer,24,3,6,13,2024-11-15,Rust,1
zk-bankai/uZumaKi,22,3,0,8,2024-10-03,Cairo,2
bmorphism/risc0-cosmwasm-example,21,1,1,1,2024-09-17,Rust,2
risc0/risc0-solana,21,7,3,10,2024-11-17,Rust,4
entropyxyz/programs,19,4,24,94,2024-11-15,Rust,8
ZpokenWeb3/solana-zkvm,18,2,2,6,2024-10-17,Rust,1
odradev/evm-at-risc0,17,2,0,0,2023-10-11,Rust,1
availproject/zknft,13,7,1,3,2024-08-30,Rust,2
SkymanOne/zink,13,1,5,35,2024-10-17,Rust,1
nlok5923/SherLOCKED,12,1,0,1,2024-10-27,Solidity,2
barnjamin/zk-experiments,12,1,2,31,2024-11-04,Jupyter Notebook,3
asm-nop/lemma,12,1,2,2,2024-09-05,TypeScript,19
succinctlabs/zkvm-perf,11,12,5,14,2024-11-14,Rust,5
nlok5923/attestation-rollup,11,6,1,4,2024-03-04,TypeScript,3
hashcloak/bonfire,10,1,14,15,2024-04-22,Solidity,4
l2iterative/profiler0,10,1,0,0,2024-07-10,Rust,1
risc0/kailua,10,0,1,1,2024-11-16,Solidity,2
justinfrevert/substrate-risc0,9,1,0,0,2024-08-23,Rust,1
Cryptonomic/MonadicDNA,9,2,6,78,2024-10-16,TypeScript,4
Tetration-Lab/ztf,9,2,0,0,2024-10-03,Solidity,2
