Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
ProvableHQ/leo,4782,659,674,23536,2024-11-15,Rust,49
AleoNet/snarkOS,4360,2636,133,3415,2024-11-16,Rust,86
chainfeeds/RSSAggregatorforWeb3,1961,321,4,13,2024-11-15,Python,3
AleoNet/snarkVM,1079,1497,116,2569,2024-11-16,Rust,63
rust-lang/crates.io-index,585,227,2,2,2024-11-17,Roff,3
rust-in-blockchain/rust-in-blockchain,403,136,2,198,2024-11-17,HTML,83
howardwu/awesome-aleo,362,246,9,74,2024-11-16,,41
yangwenmai/github-trending-backup,345,47,1,5,2024-11-17,Go,4
The-DevX-Initiative/RCIG_Coordination_Repo,260,34,14,89,2024-11-03,HTML,24
AleoNet/ARCs,218,254,23,36,2024-10-21,JavaScript,5
tzpBingo/github-trending,79,28,5,12,2024-11-16,Python,2
z-prize/2022-entries,52,21,3,11,2024-11-15,Rust,3
ProvableHQ/python-sdk,41,49,10,39,2024-11-12,Python,6
demox-labs/webgpu-msm,24,2,0,4,2024-11-17,JavaScript,3
lambdaclass/aleo_lambda_vm,21,4,1,23,2024-07-29,Rust,7
z-prize/2023-entries,21,6,1,3,2024-11-04,C++,2
AvailX/avail-wallet,20,7,28,132,2024-10-23,Rust,8
dubuqingfeng/yarb-web3,14,6,0,0,2024-11-17,Python,1
leology-org/leology,12,0,0,0,2024-03-07,Rust,3
zksecurity/zprize-ecdsa-varuna,11,2,0,1,2024-07-09,Rust,2
zkrush/aleo-mining-protocol,8,3,0,5,2024-09-10,Rust,2
VladCroitoru/dockerfile_smells_project,8,7,1,2,2024-11-06,,1
zsociety-io/aleo-dcp,8,1,0,2,2024-10-19,Rust,1
monadicus/snarkops,7,2,77,314,2024-11-10,Rust,3
td-kwj-zp2023/webgpu-msm-twisted-edwards,7,1,1,144,2024-10-31,TypeScript,2
ProvableHQ/community,7,15,3,12,2024-03-19,,17
iamalwaysuncomfortable/zk-counterparty,6,0,2,20,2024-11-07,Rust,1
ingonyama-zk/z-games,6,1,0,1,2023-07-20,Rust,2
ProvableHQ/nemean,6,10,2,2,2024-10-17,Go,2
Kryha/zk-gaming-toolkit,5,2,0,0,2023-12-16,TypeScript,5
AleoNet/welcome,4,2,0,5,2024-11-11,,3
JJJollyjim/cargochaos,3,0,0,0,2022-05-01,Nix,1
HarukaMa/aleo-explorer-rust,3,1,0,2,2024-11-01,Rust,1
rstkey/various-smart-contracts,2,0,0,0,2024-08-12,Solidity,2
SARDONYX-sard/awesome-stars,2,0,0,0,2024-11-15,,2
minerdao/snarkOS,2,2,1,1,2024-03-08,Rust,45
r001/ARC0020-proposal,2,1,0,0,2024-06-13,JavaScript,6
aleoweb123/leo-compiler-wasm,1,2,0,0,2023-09-22,Rust,2
ljedrz/afl_program_tools,1,0,0,0,2024-09-09,Rust,1
ma-chengyuan/webgpu-msm,1,0,0,0,2024-04-26,JavaScript,2
zkportal/aleo-utils-go,1,1,0,1,2024-08-20,Go,1
luzalbaposse/luzalbaposse.github.io,1,0,0,0,2024-09-23,Ruby,1
S-T-Soft/aleo-name-service-api,1,1,0,0,2024-10-18,Rust,2
zqq1009/Aleo-Prover,1,0,0,0,2024-06-07,Rust,2
cumthxy/github-trending-backup,0,0,0,0,2024-11-17,Go,1
kikakkz/snarkVM,0,0,0,0,2022-06-10,Rust,1
shenyimings/FORGE-Artifact,0,0,0,0,2024-10-30,Solidity,1
hentai8/snarkOS-alter,0,0,0,0,2023-01-09,Rust,45
xpe/crates-io-index-mirror,0,1,0,0,2021-10-03,Shell,1
AvailX/avail-lib,0,0,7,23,2024-09-18,Rust,3
coinsccg/skvm,0,0,10,34,2022-07-18,Rust,1
15012700225/my-snarkOS,0,0,0,0,2022-12-16,Rust,1
ghostant-1017/aleo-tools,0,0,0,0,2024-10-11,Rust,1
bitrainforest/aleo-ShowRecord,0,0,0,0,2022-10-09,,2
batuhansolmaz/workshop-2,0,0,0,0,2023-11-15,Rust,2
dustlang/crates.io-index,0,1,0,0,2021-03-19,Shell,3
HiCarC/sdk-Aleo-protocol,0,0,10,28,2024-08-27,Rust,22
chenhuayi83/snarkVM,0,0,10,25,2023-01-31,Rust,19
ShubhamPalriwala/blackzack,0,0,0,0,2023-12-19,Shell,1
zkp-gravity/snarkVM,0,0,10,27,2023-03-31,Rust,28
Psalmuel01/aleo-deploy,0,0,0,0,2024-07-28,Rust,1
durakahmetayberk/aleo_workshop2,0,0,0,0,2023-11-15,Rust,1
ghostant-1017/mysnarkOS1,0,0,0,0,2024-05-06,Rust,1
chadsr/stars,0,0,0,0,2024-11-10,,2
frekeB/Aloe,0,0,0,0,2024-01-05,Rust,1
ghostant-1017/mysnarkOS,0,0,0,0,2024-04-28,Rust,1
Lagrange-Studio/snarkVM,0,0,0,0,2023-02-26,Rust,1
tangfeifei/aleo-pool,0,0,0,0,2024-10-09,Rust,1
15012700225/my-snarkVM,0,1,10,13,2022-12-26,Rust,1
lsh-Alan/nemean,0,1,0,0,2022-05-02,,1
amp-buildpacks/samples,0,1,8,27,2024-09-11,Shell,3
reed4u/snarkVM,0,1,10,33,2023-01-02,Rust,28
minerdao/snarkVM,0,0,10,36,2022-12-03,Rust,28
Kommrad/snarkVM,0,0,0,0,2023-12-19,Rust,28
JackRipper1888/cuda-msm,0,0,0,0,2023-10-18,Cuda,1
