Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
boyter/scc,6791,267,45,538,2024-11-23,Go,106
Zokrates/ZoKrates,1830,362,99,1375,2024-11-21,Rust,45
ethereum-oasis-op/baseline,576,236,15,800,2024-11-05,,81
circify/circ,285,41,13,212,2024-11-22,Rust,8
EYBlockchain/starlight,189,38,15,345,2024-11-22,JavaScript,11
shardeum/community-missions,109,112,16,149,2024-04-17,TypeScript,25
andrecronje/zkftm,96,6,1,1,2024-03-01,Solidity,1
ethereum934/eth-mimblewimble,82,10,10,16,2023-09-22,Python,2
JofArnold/zkp-learning-in-public,67,1,1,13,2024-09-23,Solidity,1
leonardoalt/tinyzkevm,46,2,0,1,2024-07-31,Python,1
informartin/zkRelay,27,8,1,17,2024-10-14,Python,4
hophacker/bitcoin_public_data,18,25,3,3,2024-10-25,PHP,1
sCrypt-Inc/zokrates,15,1,6,37,2024-10-15,Rust,44
cleverhans-lab/verifiable-unlearning,15,2,0,0,2024-09-01,Python,2
barnjamin/zk-experiments,12,1,2,31,2024-11-04,Jupyter Notebook,3
axic/zkoisc,12,1,0,0,2024-03-12,,1
edwjchen/Silph,12,0,0,0,2024-11-18,Rust,2
nlordell/shadowlings,11,2,0,0,2024-09-24,Solidity,2
andrejrakic/verify-adultness,11,1,0,0,2024-09-21,Solidity,1
nishuzumi/blog,11,2,0,0,2024-07-27,MDX,1
LexiccLabs/SemiotNet,10,12,0,0,2024-06-13,CSS,1
hossam-magdy/erc721-nft-zokrates-zksnarks,10,1,0,0,2024-04-22,Solidity,1
shivammutrejarug/react_ipfs_ethereum,10,2,7,7,2024-02-06,Solidity,2
prajitdas/AndroidAnalytics,9,2,3,22,2024-07-30,Python,6
patractlabs/ZoPatract,9,2,0,10,2022-10-26,Rust,4
rewema/REWEMA,9,7,0,0,2022-06-29,Perl,2
mystikonetwork/mystiko-circuits,8,0,0,17,2024-10-25,Shell,2
DelphinusLab/delphinus-zkp,7,2,0,64,2024-10-23,TypeScript,8
soberm/zkDKG,7,1,1,1,2024-08-30,Go,2
yehjxraymond/zokrates-experiment,7,2,1,1,2023-02-24,Shell,1
leonardoalt/baby_its_me,6,3,0,1,2023-08-13,Solidity,1
ElmiraEbrahimi/Veriblock-FL,5,0,1,1,2024-11-11,Python,1
rajweb3/masala-wallet,5,4,0,9,2024-11-21,TypeScript,5
PepperSieve/Zombie,4,1,0,0,2024-09-02,Python,2
andrejrakic/zokrates-demo,3,0,21,49,2024-02-07,JavaScript,2
CryptoPascal31/cyKlone,3,1,0,3,2024-02-11,Pact,1
corbt/fixed-id,3,1,0,0,2022-02-10,Jupyter Notebook,1
holonym-foundation/id-hub-contracts,3,0,1,2,2024-10-15,HTML,4
SamuelSlavka/zk-wallet,3,0,1,20,2024-03-23,TypeScript,1
0Alic/zkABAC,3,2,0,0,2023-09-22,Solidity,1
steel-feel/zokrates,3,1,0,0,2024-08-09,JavaScript,1
JonathanHeiss/ZoKrates-Credential-Verification,3,0,1,1,2024-11-14,JavaScript,3
AymericNoel/POC_OCTO_ZKP,2,0,0,2,2022-10-21,JavaScript,1
JacobEberhardt/ZoKratesBenchmarks,2,1,0,16,2023-02-27,Jupyter Notebook,2
louisabraham/secret-nft,2,1,0,0,2024-06-14,Python,1
dcarpintero/dapp-real-state,2,0,0,1,2024-07-25,Solidity,2
kiseln/hangman-zokrates,2,0,0,0,2023-12-13,Solidity,1
creepteks/lighthouse,2,0,1,1,2023-11-22,Solidity,1
elimsc/zokrates_examples,2,0,0,0,2024-07-26,Python,1
thecodingshrimp/zkevmrelay,2,0,3,10,2023-03-17,Solidity,1
rayyan808/bsc-project,2,0,0,0,2023-01-15,JavaScript,1
NGI-TRUSTCHAIN/LED-UP,1,0,0,0,2024-11-22,TypeScript,2
GigameshGarages/ReefNet,1,1,0,0,2023-09-08,Solidity,1
sudiptab2100/zkSNARK-Auth-JS,1,0,0,0,2024-08-11,JavaScript,1
MaryamSiddiqui-ms/FYP-ZKP,1,1,0,40,2024-05-13,Python,3
alexsserban/udacity-blockchain-developer-nanodegree,1,0,0,0,2022-02-26,JavaScript,1
ChiHaoLu/DEFI_FNP_zk,1,0,0,0,2022-06-20,Solidity,1
qatkk/FederatedNaiveBayesZKP,1,0,0,0,2024-10-11,Solidity,2
ioCarb/ship2earn,1,0,6,37,2024-09-06,Jupyter Notebook,5
ftsrg/zkp-audit-zokrates,1,0,0,0,2024-03-05,TypeScript,1
eybrativosdigitais/zapp-swapescrow-drex,1,0,0,9,2024-07-05,JavaScript,3
ilyadruzh/hmac_streebog,1,0,0,0,2024-04-02,Solidity,1
osaguild/evm-rd,1,1,0,0,2023-01-20,Solidity,1
kozyilmaz/blitZKrieg,1,0,0,2,2021-10-20,C,1
affixpin/zkard,1,0,0,1,2024-07-15,TypeScript,4
lunoon/zkp-token-privacy,1,1,5,5,2023-01-02,Solidity,1
scroll-tech/ceno-recursion,1,0,8,44,2024-11-19,Rust,5
lipet2k/CS_7775_FINAL,0,0,0,0,2023-12-12,Python,1
mzurs/pkdr,0,0,0,0,2024-11-01,TypeScript,1
mysteryon88/zk-hashes,0,0,0,0,2024-03-20,Circom,1
zkaccel/nightfall_3,0,0,0,0,2022-05-24,JavaScript,13
yaksetig/zokrates,0,0,0,0,2024-02-01,Solidity,1
niravparmar/zokrates-example,0,0,0,0,2023-01-19,Solidity,1
hikaruna/dqwdb,0,0,0,0,2024-11-08,JavaScript,1
misaakidis/invitezk,0,1,0,0,2024-11-21,Solidity,1
ryejoon/svscribe-zkp-hackathon,0,0,0,0,2022-12-02,TypeScript,1
Fantasista766/ZKP,0,0,0,0,2023-12-19,Shell,1
0xisk/exploring-zokrates,0,0,0,0,2023-07-15,Solidity,1
shivammchaudhary/ZKPSmartcontracts,0,0,0,0,2023-05-20,Solidity,1
SOLO-ASN/zk-protocol-demo,0,0,0,0,2024-08-03,JavaScript,2
leSamo/PoUW-SNARK-marketplace,0,0,0,0,2024-11-18,Python,1
robert-zaremba/zkp-zokrates-tutorial,0,0,0,0,2022-11-24,Shell,1
ZK-Plus/ZoKrateslib,0,0,0,2,2024-08-06,Rust,1
faderer/heimdall,0,0,0,0,2024-07-06,Circom,1
anhdungle93/Zokrates-experiments,0,0,0,0,2022-06-24,Solidity,1
alv-around/Folding-Relays,0,0,0,3,2024-07-16,Jupyter Notebook,2
opscientia/lobby3-id-server,0,1,0,0,2022-08-05,JavaScript,1
Rakshu0308/Zokrates,0,0,0,0,2024-09-08,Rust,45
snehapm04/Cryptography-Sect2,0,0,0,0,2024-09-08,,2
balboel/sudoku-zokrates,0,0,0,0,2023-11-18,,1
aditya-git16/proofPositive,0,5,0,3,2024-03-30,Rust,4
corbt/fixed-id-browser-test,0,0,0,0,2021-10-06,TypeScript,1
julyawang/i-f-tree,0,0,0,0,2021-03-15,Rust,1
AdityaKoranga/zkSnarks-Proving-random-bits,0,0,0,0,2022-05-28,Solidity,1
Preethaeps/Gas-Cost-Optimization-with-Zero-Knowledge-Proofs,0,2,1,1,2024-10-04,Solidity,1
istiaque010/Enhanching_Privacy_in_eKYC,0,0,0,0,2024-09-03,Solidity,1
gianlucamazza/hardhat-zokrates-example,0,0,0,0,2023-10-28,Solidity,1
ChiHaoLu/defi-zk-fnp,0,0,0,0,2022-06-09,,1
Sahana-Lakshmipathy/Project2-Section1,0,0,0,0,2024-09-08,,1
agrawalprash/traceable-mixnets,0,0,0,0,2023-05-14,Python,1
xycloo/tmyxer,0,0,0,1,2022-09-29,JavaScript,2
pyramids33/hackathon5,0,0,0,0,2022-11-14,JavaScript,1
vquanli/SDE-ZKML,0,0,0,0,2024-09-15,Jupyter Notebook,1
jac18281828/zokratescrucible,0,0,0,0,2024-01-03,Dockerfile,1
mayuras7685/Zcomp-Meena,0,0,0,0,2024-07-26,Rust,1
cmars/snarkhunt,0,0,0,0,2021-01-20,Shell,1
allthatjazzleo/zkSNARK-voting,0,0,0,0,2022-04-03,Solidity,1
rohith-debug/CRYPTOGRAPHY-SESSION-1-,0,0,0,0,2024-09-08,,1
HariprasathM1611/ADAS,0,0,0,0,2024-07-19,,1
AtmegaBuzz/OwnYourWifus,0,0,0,0,2024-06-24,TypeScript,1
leSamo/ZKP-demo,0,0,0,0,2024-08-12,Solidity,1
peterokwara/Real-Estate,0,0,0,0,2022-06-26,Solidity,1
qatkk/PrivSecureML,0,0,0,0,2024-10-10,JavaScript,1
dhananjaypai08/ZkContents,0,0,0,0,2024-10-29,TypeScript,1
SergioGarridoDeCastro/codigoZKP_TFM,0,0,0,0,2024-09-05,Solidity,1
EunseongBoo/LightningZKP,0,1,13,16,2020-03-24,JavaScript,1
ilyadruzh/zkpl,0,0,0,0,2021-06-02,Shell,1
vivianjeng/zkSNARK-verifier-in-C,0,0,3,9,2023-11-25,Rust,3
mbappai/honeyland,0,0,0,0,2022-06-18,Solidity,1
sinaghadrico/dapp-real-state,0,1,0,0,2020-12-28,,1
apxlin/RollStore,0,0,0,0,2022-10-15,Python,1
shamsartem/priveasyVoting,0,0,0,0,2024-06-22,TypeScript,2
emlaufer/zkpi,0,0,0,0,2024-10-17,Rust,1
almatkhan/thesis-starlight,0,0,0,0,2024-08-23,JavaScript,1
zkaccel/ZoKrates,0,0,0,0,2022-05-13,Rust,41
dark64/zokrates-1,0,0,0,0,2020-06-08,Rust,35
fapiper/oac-service,0,0,0,1,2024-08-08,Go,1
questbook/zerkle,0,0,0,0,2022-06-04,Python,1
punwai/zok-sign-pool,0,0,0,0,2023-03-07,Python,1
nickst74/zk-hadoop,0,0,0,0,2022-11-08,Java,1
Giusgarus/zkSNArK-Protocols-Implementation,0,0,0,0,2024-04-16,Solidity,1
adityachopra29/Veripay,0,0,0,0,2024-10-27,TypeScript,1

